군집라벨,지점수,평균카메라수,평균사고건수,평균사망자수,평균중상자수,카메라단속관련비율,카메라없는비율
과잉 (카메라多 사고少),1187,1.4085930918281382,14.973883740522325,0.03201347935973041,3.9267059814658802,36.96012356079753,0.0%
부족 (카메라少),10049,0.0,12.116329983082894,0.0,3.2261916608617773,32.206521378578294,100.0%
사고다발 (사고多+중상多),1089,0.07529843893480258,41.22222222222222,0.10927456382001836,12.616161616161616,45.39638812366085,92.9%
사망위험 (사망사고 집중),1241,0.08058017727639001,15.052377115229653,1.170024174053183,4.203062046736503,35.22025248455546,92.2%
