우선순위,시도명,사고위험지역명,군집라벨,위험점수,총사고건수,총사망자수,총중상자수,사고분석유형명
1순위 (사망/사고다발),부산,부산광역시 남구내에서 2022년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,215,45,0,34,안전거리미확보 / U턴중 / 기타
1순위 (사망/사고다발),대전,대전광역시 서구내에서 2019년도에 반경50m 이내 다른사고14건 이상 지역,사고다발,211,131,0,16,기타 / 안전거리미확보 / 신호위반 / U턴중
1순위 (사망/사고다발),경기,경기도 오산시내에서 2019년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,211,81,1,24,신호위반 / 기타 / U턴중 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 중구내에서 2018년도에 반경50m 이내 다른사고6건 이상 지역,사고다발,209,69,0,28,기타 / U턴중 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 하남시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,207,87,0,24,신호위반 / U턴중 / 기타 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 광주시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,207,97,0,22,U턴중 / 기타 / 중앙선침범 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 송파구내에서 2024년도에 반경50m 이내 다른사고14건 이상 지역,사고다발,206,86,2,20,기타 / U턴중 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 오산시내에서 2021년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,203,88,0,23,U턴중 / 기타 / 신호위반
1순위 (사망/사고다발),경기,경기도 오산시내에서 2021년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,202,87,0,23,기타 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 광주시내에서 2020년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,201,91,0,22,신호위반 / U턴중 / 안전거리미확보 / 기타
1순위 (사망/사고다발),대구,대구광역시 중구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,195,75,0,24,기타 / 안전거리미확보 / U턴중 / 신호위반
1순위 (사망/사고다발),충남,충청남도 서산시내에서 2018년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,193,38,1,29,신호위반 / 기타
1순위 (사망/사고다발),경기,경기도 오산시내에서 2020년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,193,88,1,19,기타 / U턴중 / 안전거리미확보 / 신호위반 / 과속
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2019년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,190,70,0,24,U턴중 / 기타 / 안전거리미확보
1순위 (사망/사고다발),대구,대구광역시 중구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,189,74,1,21,신호위반 / 기타 / U턴중 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 군포시내에서 2023년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,187,62,1,23,신호위반 / 기타 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),부산,부산광역시 동구내에서 2018년도에 반경50m 이내 다른사고6건 이상 지역,사고다발,186,46,1,26,기타 / 과속 / U턴중 / 안전거리미확보 / 신호위반
1순위 (사망/사고다발),전남,전라남도 목포시내에서 2019년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,185,95,0,18,안전거리미확보 / U턴중 / 기타
1순위 (사망/사고다발),부산,부산광역시 연제구내에서 2023년도에 반경50m 이내 다른사고6건 이상 지역,사고다발,185,60,0,25,U턴중 / 신호위반 / 기타 / 안전거리미확보
1순위 (사망/사고다발),충북,충청북도 제천시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,184,79,0,21,U턴중 / 기타 / 신호위반 / 안전거리미확보
1순위 (사망/사고다발),경북,경상북도 경주시내에서 2017년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,184,59,0,25,U턴중 / 안전거리미확보 / 신호위반 / 기타
1순위 (사망/사고다발),부산,부산광역시 사하구내에서 2019년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,184,64,1,22,신호위반 / 안전거리미확보 / U턴중 / 기타
1순위 (사망/사고다발),부산,부산광역시 남구내에서 2021년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,184,44,0,28,기타 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2023년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,181,46,0,27,U턴중 / 기타 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 남구내에서 2024년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,181,56,0,25,U턴중 / 신호위반 / 기타 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 의정부시내에서 2021년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,180,75,0,21,안전거리미확보 / 기타 / U턴중
1순위 (사망/사고다발),경기,경기도 의정부시내에서 2022년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,180,100,0,16,신호위반 / U턴중 / 안전거리미확보 / 기타
1순위 (사망/사고다발),경기,경기도 오산시내에서 2022년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,180,100,1,14,안전거리미확보 / 신호위반 / 기타
1순위 (사망/사고다발),대구,대구광역시 중구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,178,73,0,21,기타 / 안전거리미확보 / U턴중 / 신호위반
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2018년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,177,52,0,25,기타 / U턴중 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 안산시상록구내에서 2022년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,177,62,0,23,U턴중 / 기타 / 신호위반 / 안전거리미확보
1순위 (사망/사고다발),경남,경상남도 통영시내에서 2017년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,176,56,0,24,신호위반 / 안전거리미확보 / 기타
1순위 (사망/사고다발),전남,전라남도 순천시내에서 2020년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,176,86,0,18,기타 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),경기,경기도 광주시내에서 2023년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,176,101,2,11,안전거리미확보 / 기타 / U턴중
1순위 (사망/사고다발),부산,부산광역시 동래구내에서 2018년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,175,55,1,22,기타 / 신호위반 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 연제구내에서 2022년도에 반경50m 이내 다른사고6건 이상 지역,사고다발,175,65,0,22,안전거리미확보 / 기타 / U턴중 / 신호위반
1순위 (사망/사고다발),경북,경상북도 안동시내에서 2018년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,174,59,0,23,안전거리미확보 / U턴중 / 기타 / 신호위반
1순위 (사망/사고다발),서울,서울특별시 노원구내에서 2021년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,174,79,0,19,기타 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),서울,서울특별시 서초구내에서 2021년도에 반경50m 이내 다른사고14건 이상 지역,사고다발,174,44,0,26,기타 / U턴중 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 강북구내에서 2022년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,174,94,0,16,신호위반 / U턴중 / 기타 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 성북구내에서 2023년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,174,84,1,16,기타 / 신호위반 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 사하구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,172,52,0,24,U턴중 / 안전거리미확보 / 신호위반 / 기타
1순위 (사망/사고다발),대전,대전광역시 서구내에서 2018년도에 반경50m 이내 다른사고14건 이상 지역,사고다발,172,87,0,17,안전거리미확보 / U턴중 / 신호위반 / 기타
1순위 (사망/사고다발),전남,전라남도 목포시내에서 2020년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,172,107,0,13,안전거리미확보 / 기타 / U턴중 / 중앙선침범 / 신호위반
1순위 (사망/사고다발),서울,서울특별시 서초구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,170,75,0,19,신호위반 / 안전거리미확보 / 기타
1순위 (사망/사고다발),경북,경상북도 김천시내에서 2018년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,167,57,0,22,안전거리미확보 / 기타 / U턴중
1순위 (사망/사고다발),서울,서울특별시 서초구내에서 2017년도에 반경50m 이내 다른사고12건 이상 지역,사망위험,166,71,3,13,U턴중 / 안전거리미확보 / 기타 / 중앙선침범
1순위 (사망/사고다발),서울,서울특별시 서초구내에서 2019년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,166,91,0,15,기타 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2024년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,166,31,0,27,안전거리미확보 / 기타 / 신호위반
1순위 (사망/사고다발),경북,경상북도 안동시내에서 2020년도에 반경100m 이내 다른사고6건 이상 지역,사고다발,165,80,0,17,기타 / 안전거리미확보 / U턴중
1순위 (사망/사고다발),서울,서울특별시 성동구내에서 2021년도에 반경50m 이내 다른사고12건 이상 지역,사고다발,165,60,0,21,U턴중 / 기타 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 성남시 수정구내에서 2018년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,163,53,1,20,신호위반 / 기타 / 안전거리미확보
1순위 (사망/사고다발),부산,부산광역시 부산진구내에서 2020년도에 반경50m 이내 다른사고12건 이상 지역,사망위험,161,36,2,21,안전거리미확보 / 기타 / U턴중 / 신호위반
1순위 (사망/사고다발),부산,부산광역시 동구내에서 2022년도에 반경50m 이내 다른사고6건 이상 지역,사고다발,161,41,0,24,기타 / U턴중 / 신호위반 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 금천구내에서 2018년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,160,45,1,21,중앙선침범 / 신호위반 / 안전거리미확보 / 기타 / U턴중
1순위 (사망/사고다발),서울,서울특별시 은평구내에서 2023년도에 반경50m 이내 다른사고8건 이상 지역,사고다발,160,75,0,17,신호위반 / 기타 / 안전거리미확보
1순위 (사망/사고다발),경기,경기도 의정부시내에서 2023년도에 반경80m 이내 다른사고10건 이상 지역,사고다발,160,60,2,16,신호위반 / 기타 / 과속 / 안전거리미확보
1순위 (사망/사고다발),서울,서울특별시 서초구내에서 2024년도에 반경50m 이내 다른사고14건 이상 지역,사고다발,160,80,0,16,기타 / 안전거리미확보
