군집라벨,지점수,평균카메라수,평균사고건수,평균사망자수,평균중상자수,평균위험점수
부족,10049,0.0,12.116329983082894,0.0,3.2261916608617773,34.927548441449034
사고다발,1089,0.07529843893480258,41.22222222222222,0.10927456382001836,12.616161616161616,47.767929089443996
사망위험,1241,0.08058017727639001,15.052377115229653,1.170024174053183,4.203062046736503,28.24728828739178
카메라 설치지점,1187,1.4085930918281382,14.973883740522325,0.03201347935973041,3.9267059814658802,105.39577594123048
